Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
EPIC 220674823 b,12.1,05/12/2024 19:12,05/12/2024 19:58,05/12/2024 20:43,01:31,10650.3,10650.332,10650.363,58,66,71,118,135,163,-1.9,-1.1,-0.4,00:52:19.21 +10:47:40.94,0.28,1,0.571285,1.01E-05,2457392.297,0.00078,,100,51,19:09,23:06,21,69
KELT-16 b,11.7,05/12/2024 19:11,05/12/2024 20:26,05/12/2024 21:41,02:29,10650.3,10650.351,10650.403,64,48,32,284,287,291,2,3.3,4.5,20:57:04.45 +31:39:39.67,11.5,1,0.96899296,1.00E-07,2458392.598,7.80E-05,,100,11,19:09,21:52,21,54
TOI-4479 b,15.2,05/12/2024 20:01,05/12/2024 20:36,05/12/2024 21:11,01:10,10650.334,10650.358,10650.382,53,46,38,274,277,280,2.7,3.3,3.9,21:04:23.27 +24:39:13.23,3.5,1,1.15890129,7.70E-06,2459797.406,0.001633,,100,65,19:09,21:48,21,48
TOI-6255 b,12.7,05/12/2024 20:29,05/12/2024 20:43,05/12/2024 20:58,00:29,10650.353,10650.363,10650.373,61,58,56,300,299,299,2.2,2.4,2.7,22:06:00.76 +39:17:55.78,0.49,1,0.23818244,1.20E-07,2458738.712,0.00043,,100,100,19:27,21:59,21,65
K2-207 b,13.2,05/12/2024 19:11,05/12/2024 21:20,05/12/2024 23:29,04:18,10650.299,10650.389,10650.478,52,62,45,132,191,239,-1.8,0.3,2.5,00:46:47.92 +00:38:26.23,0.9,1,12.48749,0.001208,2457403.645,0.003892,,100,7,19:09,00:41,21,63
K2-209 b,11.1,05/12/2024 20:37,05/12/2024 21:24,05/12/2024 22:12,01:35,10650.359,10650.392,10650.425,62,63,59,162,187,211,-0.6,0.2,1,00:58:45.68 +01:22:58.11,0.12,1,2.080615,0.000134,2457394.233,0.002694,Duration estimated. ,100,35,19:09,00:55,21,66
K2-85 b,12.4,05/12/2024 21:06,05/12/2024 21:30,05/12/2024 21:55,00:49,10650.379,10650.396,10650.413,47,52,58,93,97,101,-3.1,-2.7,-2.3,03:57:51.56 +18:27:53.82,0.4,1,0.684559,1.00E-05,2457102.333,0.00056,,100,78,19:49,00:09,21,113
TOI-2046 b,11.6,05/12/2024 20:20,05/12/2024 21:33,05/12/2024 22:45,02:25,10650.347,10650.398,10650.448,44,44,43,5,359,352,-1,0.3,1.5,01:04:44.39 +74:19:52.70,16.3,1,1.4971842,3.30E-06,2457792.277,0.0024,,100,100,19:11,23:55,21,105
Qatar-7 b,13.1,05/12/2024 19:54,05/12/2024 21:41,05/12/2024 23:28,03:35,10650.329,10650.403,10650.478,81,68,47,17,299,295,-0.2,1.6,3.4,23:54:03.63 +37:01:18.57,12.3,1,2.03202332,3.30E-07,2458303.42,9.30E-05,,100,87,19:09,00:29,21,74
K2-211 b,13.2,05/12/2024 21:17,05/12/2024 21:56,05/12/2024 22:36,01:19,10650.387,10650.414,10650.442,63,63,60,169,191,210,-0.3,0.3,1,01:24:25.48 +01:42:17.68,0.28,1,0.669532,1.90E-05,2457395.823,0.0016,,100,76,19:09,01:22,21,71
WASP-44 b,13.1,05/12/2024 20:53,05/12/2024 22:00,05/12/2024 23:07,02:14,10650.37,10650.417,10650.463,49,44,34,189,212,229,0.4,1.5,2.7,00:15:36.79 -11:56:17.75,15.6,1,2.42381131,1.30E-07,2458398.698,0.00013,,100,69,19:53,23:31,21,50
